model,layer,subject,rsa_All pairs,rsa_Both in RSR,rsa_One in RSR,rsa_Neither in RSR
vanilla,0,M01,-0.0246081279719775,-0.07554803291189395,-0.01239271803092509,-0.028597484261704463
vanilla,0,M02,0.05207967480763647,0.07368655490179223,0.05929298061637564,0.03522922724252338
vanilla,0,M03,0.01590123740597648,-0.025240728081395068,0.013776095457001933,0.020552881448686274
vanilla,0,M04,0.03167385437838303,0.10746834962043893,0.04329159087837769,0.010149688094308707
vanilla,0,M05,0.043625739479069864,0.1120244031740211,0.033253603790844945,0.040903022656198794
vanilla,0,M06,0.0174066114595178,-0.014654934589031112,0.012079978162100045,0.025551265995322724
vanilla,0,M07,0.022038322128209813,-0.022569652601184,-0.005806787757584838,0.04944261173174416
vanilla,0,M08,0.027403111012861466,0.0015059445568209027,0.030242368046820373,0.022610752329762892
vanilla,0,M09,0.020801722417914423,0.08802335692316658,0.0033452265652742542,0.021365092984376353
vanilla,0,M10,0.018063977605361898,-0.002485369642714187,0.02785515208979221,0.014146475733895438
vanilla,1,M01,-0.03143491347472073,-0.09185746787371649,-0.020161838356578456,-0.03560704192235637
vanilla,1,M02,0.06308448754269208,0.09946739338552536,0.07049014783371484,0.03260811389902383
vanilla,1,M03,0.0070963960636544155,-0.03879505546863442,-0.007508702569253673,0.016804421425357388
vanilla,1,M04,0.04291551474994547,0.11590789008168206,0.05158644443431328,0.020780798206901534
vanilla,1,M05,0.032732731904319155,0.16011825290864007,0.03138391071322919,0.010808948247065589
vanilla,1,M06,0.016211232758445455,-0.0005112315176798316,0.01400736919007861,0.01998568763674278
vanilla,1,M07,0.025215906348421656,-0.01210538800744181,0.010318159911807002,0.04600683037659097
vanilla,1,M08,0.03561700814433317,0.004660789314369974,0.02880464200897246,0.03169430246927753
vanilla,1,M09,0.01758629684169007,0.11941333955082781,-0.018285085947054063,0.01863382462835111
vanilla,1,M10,0.02680635944509251,0.03175389051479157,0.026725194838248048,0.024547059702113332
vanilla,2,M01,-0.04430356509708859,-0.09853746231043618,-0.03317186329616803,-0.049916205902539874
vanilla,2,M02,0.09673705642056483,0.14063123309664796,0.11239602535589556,0.05848460720861391
vanilla,2,M03,0.016806350261038563,-0.02360111723063744,-0.0017241014972739488,0.027555454571202623
vanilla,2,M04,0.03802270501742654,0.08972203151221984,0.04348166408532966,0.02077518675062489
vanilla,2,M05,0.039795860026436744,0.1528345835342398,0.03862355092859433,0.018796354599855028
vanilla,2,M06,0.03392736095950873,0.03140110180987379,0.040712600026622754,0.029243098010386197
vanilla,2,M07,0.02545165363772638,-0.02811823520058613,0.013667461390004952,0.04645665691499822
vanilla,2,M08,0.03874898684260815,0.016244874348445064,0.04392995364381726,0.022458300125634396
vanilla,2,M09,0.03176783190782481,0.13765640546426272,0.0015193776052055026,0.02738973426364052
vanilla,2,M10,0.02390557965308526,0.013374804611915085,0.02181907077460242,0.024837838411452668
vanilla,3,M01,-0.049743276141562855,-0.07399682952050646,-0.02927137382309757,-0.06391939119627406
vanilla,3,M02,0.07127406337177562,0.13732170110944647,0.0848404216745283,0.03947398831893569
vanilla,3,M03,-0.0017107525278150966,-0.010394738346901513,-0.023351045206816648,0.009509999397061123
vanilla,3,M04,0.04583570684097382,0.1096851840032819,0.06163141113676484,0.02180130079687284
vanilla,3,M05,0.036677508677011014,0.17996228922343172,0.04257348267544756,0.011751750629757399
vanilla,3,M06,0.03641021395684411,0.03187586949311802,0.040418706851253816,0.03409271049916488
vanilla,3,M07,0.02032116008404131,-0.01114895387826672,0.015316807769648128,0.029650924741962535
vanilla,3,M08,0.02227625328174547,-0.030075093216302765,0.002402426339803391,0.03252535717877635
vanilla,3,M09,0.03700080705595308,0.17654447986465144,0.018189827138707464,0.02663273160830958
vanilla,3,M10,0.033884806822040564,0.013457766844694094,0.02433574689624702,0.042936048516788464
vanilla,4,M01,-0.06589955960538248,-0.07238001041086004,-0.03990760965122879,-0.08553648323544186
vanilla,4,M02,0.06951753899347343,0.12939538432195305,0.0927440791887942,0.03571535046700225
vanilla,4,M03,-0.0015094992527194362,-0.006337771537328393,-0.01783663182765463,0.006742101575573426
vanilla,4,M04,0.04787084678536659,0.11840325739652499,0.07525324423682223,0.015385313344731347
vanilla,4,M05,0.02357481363670036,0.16886686531659972,0.03474593678340078,-0.004601915794723194
vanilla,4,M06,0.03685427478181677,0.039515706859399154,0.04505797649931071,0.03051344073888953
vanilla,4,M07,0.018603417846626846,-0.023131440612905257,0.017894843877739514,0.025539152405659137
vanilla,4,M08,0.022933369196435075,-0.03645252341613447,0.002451292718451379,0.03550632028522291
vanilla,4,M09,0.030078741588202562,0.15138552610074918,0.006722114749801102,0.026576515837536147
vanilla,4,M10,0.03133557589097116,0.02519192763603751,0.03049971427175905,0.03225393141516816
vanilla,5,M01,-0.05267315386817545,-0.06162284722634692,-0.02756286931558251,-0.07224781826883764
vanilla,5,M02,0.0632776899936012,0.1020060716489998,0.09811154412005743,0.01821142907511008
vanilla,5,M03,0.004446892268781603,0.009338098767408768,-0.011528858722931364,0.009551685181122429
vanilla,5,M04,0.04925338745497636,0.11803560130464086,0.07480568950836716,0.016668029942602875
vanilla,5,M05,0.025794164707078827,0.15668590818890507,0.023709314411260965,0.005636710113724674
vanilla,5,M06,0.02770912477224654,0.0392765300773141,0.028008029585222607,0.02575050809748092
vanilla,5,M07,0.01541279812335326,-0.03651703975937705,0.00909990672490607,0.029664547024828403
vanilla,5,M08,0.018834739618325866,-0.060045627752357285,-0.0006797136966987416,0.03078807691688724
vanilla,5,M09,0.03681052151172099,0.1508470020449113,0.007007242867460377,0.03583410269835138
vanilla,5,M10,0.031089758943086136,0.04837794594690314,0.03106667919809882,0.02735506460269872
vanilla,6,M01,-0.05651590655792416,-0.045597309261201535,-0.02915347593409434,-0.07807619113816731
vanilla,6,M02,0.054080869365880954,0.1010104953422284,0.08537412143148954,0.018584466219990194
vanilla,6,M03,0.007642097060507467,0.022074291926861306,0.001203507766966742,0.008360469795813109
vanilla,6,M04,0.057538838366750576,0.12073896446989647,0.0885741268713007,0.02390288753097262
vanilla,6,M05,0.025070350677810428,0.1364020997324977,0.019121131284972722,0.0137933819309848
vanilla,6,M06,0.02661548758859511,0.0318183773446109,0.02680459917594946,0.025743761525473616
vanilla,6,M07,0.013474362707352937,-0.028687984458231307,0.0008200635106482935,0.027671443145612047
vanilla,6,M08,0.027267054204240013,-0.06397167301635669,0.002042245152622526,0.050096148763158085
vanilla,6,M09,0.03379117079529852,0.13929623028733898,0.007734325334155961,0.03655305384477661
vanilla,6,M10,0.02787574244040293,0.04980649155122921,0.033518355801268974,0.020548239427892204
vanilla,7,M01,-0.05685728753739271,-0.030501045697477816,-0.032625472794059814,-0.07860246744891741
vanilla,7,M02,0.05719774554372813,0.11339511722547257,0.09250828867383318,0.01759805706423208
vanilla,7,M03,-0.0035862818159530002,0.005000112519926172,-0.016920042294359377,0.0025776172247800678
vanilla,7,M04,0.06531420754393279,0.12715653292535944,0.08929781812189651,0.03689311127113276
vanilla,7,M05,0.025029794296838208,0.13168537510269748,0.030318018381256032,0.006804466680322382
vanilla,7,M06,0.017545817361751884,0.014818003630888895,0.015992877124984595,0.018777111220003567
vanilla,7,M07,0.018535884345272147,0.01609307205591613,0.013464595035375507,0.022047219324361496
vanilla,7,M08,0.037675976594799855,-0.04532256880409025,0.02853653380892341,0.04697467881576291
vanilla,7,M09,0.029440697485844096,0.10633673118915854,-0.0011261039309814712,0.03820461230474708
vanilla,7,M10,0.03532467160150902,0.04475220714291247,0.03497263901706906,0.03367103766866722
vanilla,8,M01,-0.03734612278586253,-0.019161346564692868,-0.013563714877368611,-0.05904697314399936
vanilla,8,M02,0.07003022290992761,0.10469914200789408,0.10507587674293695,0.026801269179817993
vanilla,8,M03,-0.01597112516271642,-0.0031737702402134405,-0.03218691646678547,-0.009058975972413088
vanilla,8,M04,0.07167987216900862,0.1483035352285132,0.0827412638542179,0.049430053328322086
vanilla,8,M05,0.030934758988004858,0.1190813947010862,0.028231575670363274,0.01940299006817294
vanilla,8,M06,0.019079608456881003,0.0406199515906075,0.014704107296124628,0.01881584504231012
vanilla,8,M07,0.02432635594763842,0.042100138307279746,0.02639221515691595,0.020459251680323042
vanilla,8,M08,0.0548819397054179,-0.02502584084665157,0.04586097417681452,0.061562473279042844
vanilla,8,M09,0.021579182621728095,0.07488635671915506,-0.02163161733925507,0.04096461356925823
vanilla,8,M10,0.03247096522161375,0.009714018617805225,0.020866578514860113,0.04339970037605683
vanilla,9,M01,-0.01749035619192755,-0.02264817306376264,-0.003870327005085772,-0.029777719715312366
vanilla,9,M02,0.09344076646234627,0.13744978198803157,0.14195305051596183,0.0366992752937002
vanilla,9,M03,-0.02114631758163347,-0.01463632637566677,-0.04921121760403108,-0.006245115118619964
vanilla,9,M04,0.08012235816946563,0.13114927114756672,0.08216064749545594,0.0673464117126685
vanilla,9,M05,0.024367068487017775,0.1076416967119464,0.018373782055347794,0.014402592382126026
vanilla,9,M06,0.02210699982017172,0.026595143344852176,0.006112186177117794,0.03272966801972093
vanilla,9,M07,0.006033520791800934,0.06826981614244063,0.015938054158558663,-0.008638604579312297
vanilla,9,M08,0.05484412777350783,-0.0018033291879270914,0.04955601159733294,0.05390764498953786
vanilla,9,M09,0.013106340846467357,0.04242074262413437,-0.02906185021508186,0.03244117977566954
vanilla,9,M10,0.04074303291676444,-0.011082386352107681,0.020221080557063977,0.06167785258397122
vanilla,10,M01,-0.02003774479016659,-0.017680097364783327,-0.0019969846406598817,-0.039120267267399304
vanilla,10,M02,0.0931440819601997,0.11497710311731843,0.13301914532545944,0.028411350472116487
vanilla,10,M03,-0.02087689623819341,-0.033097599783961734,-0.05063106979514785,-0.007036548749598662
vanilla,10,M04,0.07616706709041046,0.1199531548189333,0.060504929990613535,0.07393440276555337
vanilla,10,M05,0.019066187601974264,0.0700974422560651,0.0023583187977584312,0.013903229393232986
vanilla,10,M06,0.024541399790397413,0.03932944026686037,0.005319718900725468,0.03621911138793345
vanilla,10,M07,-0.004709328002537467,0.09746428045720719,0.015873154910173864,-0.02887591528319768
vanilla,10,M08,0.06092226204123291,0.0077678149478848275,0.04760542042990654,0.05552884993007395
vanilla,10,M09,0.013583463195091563,-0.0024397935388475963,-0.028388714871459025,0.031099479784954576
vanilla,10,M10,0.04050022870192519,0.006012644288359425,0.0337337029690523,0.04772445183348289
vanilla,11,M01,-0.019781033269862323,-0.029031469056466922,-0.0045744981646369965,-0.037752733578170765
vanilla,11,M02,0.08732655190787711,0.12048773145441043,0.1287349585161791,0.009072171459538998
vanilla,11,M03,-0.021877565737242474,-0.06972658395775742,-0.05966353785224944,-0.0026607984666486635
