Mode,Step,MLM Loss (Mean),MLM Loss (StdErr),All pairs (Mean),All pairs (StdErr),Both in RSR (Mean),Both in RSR (StdErr),One in RSR (Mean),One in RSR (StdErr),Neither in RSR (Mean),Neither in RSR (StdErr),All pairs (Pearson) (Mean),All pairs (Pearson) (StdErr),Both in RSR (Pearson) (Mean),Both in RSR (Pearson) (StdErr),One in RSR (Pearson) (Mean),One in RSR (Pearson) (StdErr),Neither in RSR (Pearson) (Mean),Neither in RSR (Pearson) (StdErr)
vanilla_all,0,,,0.5699999928474426,0.0,0.4580000042915344,0.0,0.675000011920929,0.0,0.5870000123977661,0.0,0.5879999995231628,0.0,0.4970000088214874,0.0,0.6909999847412109,0.0,0.5879999995231628,0.0
vanilla_all,400,1.7476500272750854,0.007954964755452772,0.5640000104904175,0.002828432849646505,0.4480000138282776,0.002828422312934404,0.6735000014305115,0.0010606675869734902,0.5809999704360962,0.0028284117762223024,0.5839999914169312,0.0021213351739469803,0.4894999861717224,0.0031819711507841664,0.6920000314712524,0.0007071187491237277,0.5820000171661377,0.0021213141005227776
vanilla_all,800,1.8497999906539917,0.00459619811231952,0.5659999847412109,0.0007070976756995249,0.4514999985694885,0.0024748734750846416,0.6755000352859497,0.0010606465135492875,0.5820000171661377,0.0,0.5855000019073486,0.0003535699112739652,0.4919999837875366,0.0014142058881111512,0.6924999952316284,0.0010606675869734902,0.5835000276565552,0.00035354883784976247
vanilla_all,1200,1.8187999725341797,0.0005656949992989822,0.565500020980835,0.0010606465135492875,0.4490000009536743,0.0035355305253460304,0.6744999885559082,0.0031819816874962678,0.5830000042915344,0.0,0.5855000019073486,0.0017677652626730152,0.49050000309944153,0.0031819816874962678,0.6920000314712524,0.0028284117762223024,0.5844999551773071,0.00035354883784976247
vanilla_all,1600,1.8226499557495117,0.0018738067332613208,0.565500020980835,0.0017677652626730152,0.44749999046325684,0.0024748734750846416,0.6759999990463257,0.0007070976756995249,0.5829999446868896,0.0014142164248232526,0.5845000147819519,0.0017677652626730152,0.48900002241134644,0.002828422312934404,0.6919999718666077,0.0,0.5835000276565552,0.0010606465135492875
vanilla_all,2000,1.817349910736084,0.01629881848114334,0.5649999976158142,0.0,0.44449999928474426,0.00035354883784976247,0.675000011920929,0.0,0.5855000019073486,0.0003535699112739652,0.5860000252723694,0.0,0.48750001192092896,0.0010606570502613888,0.6929999589920044,0.0007071187491237277,0.5874999761581421,0.0010606465135492875
vanilla_all,2400,1.8186500072479248,0.012763245808948902,0.5640000104904175,0.0007070976756995249,0.44350001215934753,0.0017677652626730152,0.6710000038146973,0.0014141953513990499,0.5879999995231628,0.0007070976756995249,0.5844999551773071,0.00035354883784976247,0.4855000078678131,0.0017677652626730152,0.6890000104904175,0.0007070976756995249,0.5895000100135803,0.0010606675869734902
vanilla_all,2800,1.8207999467849731,0.007636756049991043,0.5600000023841858,0.0014141953513990499,0.43549999594688416,0.0017677652626730152,0.675000011920929,0.002828432849646505,0.5824999809265137,0.0038890793631957926,0.5824999809265137,0.0010606675869734902,0.4804999828338623,0.0003535593745618639,0.6935000419616699,0.002474884011796743,0.5849999785423279,0.002828432849646505
vanilla_all,3200,1.8468999862670898,0.015909929510905543,0.5640000104904175,0.004242628201045555,0.44350001215934753,0.0031819816874962678,0.6754999756813049,0.0017677652626730152,0.5839999914169312,0.004949746950169283,0.5859999656677246,0.0028284117762223024,0.48750001192092896,0.0024748734750846416,0.6955000162124634,0.00035354883784976247,0.5879999995231628,0.004242628201045555
vanilla_all,3600,1.7402501106262207,0.015733123481844358,0.5649999976158142,0.002828432849646505,0.4440000057220459,0.004242638737757657,0.6779999732971191,0.0021213141005227776,0.5879999995231628,0.002828432849646505,0.5874999761581421,0.0017677652626730152,0.4884999990463257,0.0031819816874962678,0.6965000033378601,0.0017677652626730152,0.5915000438690186,0.002474884011796743
vanilla_all,4000,1.8034000396728516,0.013222899337659579,0.5590000152587891,0.0035355305253460304,0.4375,0.0038890793631957926,0.6694999933242798,0.00035354883784976247,0.5830000042915344,0.004242628201045555,0.5824999809265137,0.002474884011796743,0.48250001668930054,0.0024748734750846416,0.6914999485015869,0.00035354883784976247,0.5870000123977661,0.002828432849646505
vanilla_all,4400,1.856850028038025,0.015591720805443814,0.5579999685287476,0.0021213141005227776,0.43799999356269836,0.0014142164248232526,0.6685000061988831,0.0010606675869734902,0.5824999809265137,0.0038890793631957926,0.5809999704360962,0.0007071187491237277,0.48100000619888306,0.0007071082124116263,0.6890000104904175,0.0007070976756995249,0.5864999890327454,0.0024748629383725402
vanilla_all,4800,1.8058500289916992,0.010359105282200836,0.5625,0.0024748629383725402,0.44749999046325684,0.0010606570502613888,0.6705000400543213,0.00035354883784976247,0.5835000276565552,0.005303316861443248,0.5839999914169312,0.0014142164248232526,0.4884999990463257,0.00035354883784976247,0.6909999847412109,0.0,0.5870000123977661,0.004242649274469758
vanilla_all,5200,1.8845000267028809,0.012798649161609546,0.562999963760376,0.0021213141005227776,0.4424999952316284,0.0031819816874962678,0.6735000014305115,0.0010606675869734902,0.5865000486373901,0.0031819816874962678,0.5855000019073486,0.0010606675869734902,0.48750001192092896,0.0010606570502613888,0.6940000057220459,0.0007070976756995249,0.5895000100135803,0.0024748629383725402
vanilla_all,5600,1.812150001525879,0.013470385631496834,0.559499979019165,0.0010606465135492875,0.44050002098083496,0.003889089899907894,0.6705000400543213,0.0010606465135492875,0.5830000042915344,0.0,0.5824999809265137,0.00035354883784976247,0.4854999780654907,0.0024748734750846416,0.6909999847412109,0.0014142164248232526,0.5870000123977661,0.0
vanilla_all,6000,1.839750051498413,0.007459950020929858,0.5575000047683716,0.0010606675869734902,0.43549999594688416,0.00035354883784976247,0.671999990940094,0.0,0.5809999704360962,0.0007071187491237277,0.5809999704360962,0.0007071187491237277,0.4804999828338623,0.0003535593745618639,0.6920000314712524,0.0007071187491237277,0.5850000381469727,0.0007071187491237277
vanilla_all,6400,1.8287999629974365,0.0002828474996494911,0.5635000467300415,0.00035354883784976247,0.4399999976158142,0.0007071082124116263,0.6775000095367432,0.0010606675869734902,0.5874999761581421,0.00035354883784976247,0.5855000019073486,0.0003535699112739652,0.48500001430511475,0.0007071082124116263,0.6959999799728394,0.0007071187491237277,0.5889999866485596,0.0
vanilla_all,6800,1.807650089263916,0.01156117554557487,0.5625,0.0003535699112739652,0.4399999976158142,0.0,0.6744999885559082,0.0010606675869734902,0.5894999504089355,0.00035354883784976247,0.5845000147819519,0.0010606675869734902,0.48399999737739563,0.0014142164248232526,0.6944999694824219,0.00035354883784976247,0.5910000205039978,0.0
vanilla_all,7200,1.754849910736084,0.0021566963797592176,0.5605000257492065,0.0017677652626730152,0.43849998712539673,0.0010606570502613888,0.6729999780654907,0.0014142164248232526,0.5859999656677246,0.0014142164248232526,0.5830000042915344,0.0007070976756995249,0.48399999737739563,0.0014142164248232526,0.6929999589920044,0.0014142164248232526,0.5889999866485596,0.0007070976756995249
vanilla_all,7600,1.8206499814987183,0.003288044231508776,0.5609999895095825,0.0014142164248232526,0.4350000023841858,0.0021213141005227776,0.6764999628067017,0.00035354883784976247,0.5879999995231628,0.0,0.5839999914169312,0.0007070976756995249,0.4814999997615814,0.0017677652626730152,0.6955000162124634,0.00035354883784976247,0.590499997138977,0.0003535699112739652
vanilla_all,8000,1.7734498977661133,0.012197592956498327,0.5605000257492065,0.00035354883784976247,0.43849998712539673,0.0003535593745618639,0.6755000352859497,0.00035354883784976247,0.5855000019073486,0.0003535699112739652,0.5835000276565552,0.00035354883784976247,0.48250001668930054,0.0003535593745618639,0.6959999799728394,0.0007071187491237277,0.5889999866485596,0.0007070976756995249
vanilla_targetwords,0,,,0.5699999928474426,0.0,0.4580000042915344,0.0,0.675000011920929,0.0,0.5870000123977661,0.0,0.5879999995231628,0.0,0.4970000088214874,0.0,0.6909999847412109,0.0,0.5879999995231628,0.0
